Phase,FileName,CC,MSE,SSIM
phase1-2,phase1-2_input0005-modality0-WarpedToTemplate.nii.gz,0.9680822010080539,0.022409272210520956,0.8581796447837639
phase1-2,phase1-2_input0067-modality0-WarpedToTemplate.nii.gz,0.9739019249087357,0.01689380447209317,0.8776528003178665
phase1-2,phase1-2_input0014-modality0-WarpedToTemplate.nii.gz,0.9708184419811458,0.005097122587238333,0.916778000510641
phase1-2,phase1-2_input0076-modality0-WarpedToTemplate.nii.gz,0.9735409534361936,0.014918224624555025,0.8888614385196579
phase1-2,phase1-2_input0020-modality0-WarpedToTemplate.nii.gz,0.9725649235961038,0.018710039202629623,0.87307208408067
phase1-2,phase1-2_input0081-modality0-WarpedToTemplate.nii.gz,0.9745971651564,0.01961859121370552,0.8741541617274989
phase1-2,phase1-2_input0042-modality0-WarpedToTemplate.nii.gz,0.9743552579625068,0.022238697895660953,0.8642798391338292
phase1-2,phase1-2_input0031-modality0-WarpedToTemplate.nii.gz,0.9724008084586843,0.021012815794485662,0.8652868038459444
phase1-2,phase1-2_input0053-modality0-WarpedToTemplate.nii.gz,0.9685854129328211,0.014650266168516564,0.888254035907047
phase1-2,phase1-2_input0008-modality0-WarpedToTemplate.nii.gz,0.9764347025729835,0.014595578025498181,0.8878143667926834
phase1-2,phase1-2_input0019-modality0-WarpedToTemplate.nii.gz,0.9650151659982115,0.006122109360795218,0.9035863160925182
phase1-2,phase1-2_input0079-modality0-WarpedToTemplate.nii.gz,0.9670434933895293,0.015942554154170487,0.8854354421213027
phase1-2,phase1-2_input0068-modality0-WarpedToTemplate.nii.gz,0.9726664203745167,0.021932652767491907,0.8631974670423463
phase1-2,phase1-2_input0033-modality0-WarpedToTemplate.nii.gz,0.9743588918125599,0.012319111909127788,0.8947619675582048
phase1-2,phase1-2_input0051-modality0-WarpedToTemplate.nii.gz,0.9665754433314272,0.03222944072257278,0.8221209817594193
phase1-2,phase1-2_input0083-modality0-WarpedToTemplate.nii.gz,0.9717942153526117,0.010282290820062956,0.8975786606755457
phase1-2,phase1-2_input0022-modality0-WarpedToTemplate.nii.gz,0.975232276175152,0.022144312642259512,0.864977888595627
phase1-2,phase1-2_input0040-modality0-WarpedToTemplate.nii.gz,0.9739183221725053,0.01049839823979994,0.9032739439690999
phase1-2,phase1-2_input0016-modality0-WarpedToTemplate.nii.gz,0.9689120932562263,0.01012544418802239,0.8981007555786469
phase1-2,phase1-2_input0074-modality0-WarpedToTemplate.nii.gz,0.9722631812059281,0.012263157836102115,0.8940810330188579
phase1-2,phase1-2_input0007-modality0-WarpedToTemplate.nii.gz,0.9751765279751747,0.008129608288186096,0.9134214483094827
phase1-2,phase1-2_input0065-modality0-WarpedToTemplate.nii.gz,0.9742738323030752,0.019651692662727416,0.87149657854964
phase1-2,phase1-2_input0015-modality0-WarpedToTemplate.nii.gz,0.9716401863769217,0.02214509077289995,0.8586990440967207
phase1-2,phase1-2_input0077-modality0-WarpedToTemplate.nii.gz,0.9746859972942277,0.025698672175181257,0.8487681607416759
phase1-2,phase1-2_input0004-modality0-WarpedToTemplate.nii.gz,0.9749069335562816,0.007604014604212509,0.9105276180825548
phase1-2,phase1-2_input0066-modality0-WarpedToTemplate.nii.gz,0.9733891620144399,0.013904684386188047,0.8870896074550242
phase1-2,phase1-2_input0030-modality0-WarpedToTemplate.nii.gz,0.9729772883027711,0.014819815349991996,0.8872438038724075
phase1-2,phase1-2_input0052-modality0-WarpedToTemplate.nii.gz,0.9752762198569402,0.010326644415186024,0.9064409021101363
phase1-2,phase1-2_input0021-modality0-WarpedToTemplate.nii.gz,0.9641813984731484,0.014613133453060027,0.8762638840772665
phase1-2,phase1-2_input0080-modality0-WarpedToTemplate.nii.gz,0.9732711615525164,0.018076890688772638,0.8733301044775285
phase1-2,phase1-2_input0043-modality0-WarpedToTemplate.nii.gz,0.9705413984505069,0.015174383658299656,0.8848427983281731
phase1-2,phase1-2_input0018-modality0-WarpedToTemplate.nii.gz,0.9750781709185256,0.015381516343016847,0.88873405986666
phase1-2,phase1-2_input0009-modality0-WarpedToTemplate.nii.gz,0.9708611092677716,0.01979885484266588,0.8731748862173068
phase1-2,phase1-2_input0069-modality0-WarpedToTemplate.nii.gz,0.9731182262777733,0.02331956808419438,0.855722511591942
phase1-2,phase1-2_input0078-modality0-WarpedToTemplate.nii.gz,0.9694110013251551,0.02170328569214176,0.8595931683002662
phase1-2,phase1-2_input0082-modality0-WarpedToTemplate.nii.gz,0.9691978607244074,0.021583505869807895,0.8600442324426876
phase1-2,phase1-2_input0023-modality0-WarpedToTemplate.nii.gz,0.9691917089513787,0.02229186945858074,0.8577871832218751
phase1-2,phase1-2_input0041-modality0-WarpedToTemplate.nii.gz,0.9668159180481813,0.007572719160808764,0.8988446977063371
phase1-2,phase1-2_input0032-modality0-WarpedToTemplate.nii.gz,0.9705817420357469,0.014741910678373799,0.8847069162986894
phase1-2,phase1-2_input0050-modality0-WarpedToTemplate.nii.gz,0.964189744344751,0.02640603022636997,0.8448400233289907
phase1-2,phase1-2_input0006-modality0-WarpedToTemplate.nii.gz,0.9706372850475256,0.013494200604833717,0.8897454394677913
phase1-2,phase1-2_input0064-modality0-WarpedToTemplate.nii.gz,0.9723685575706422,0.01516279970165206,0.8891981661630527
phase1-2,phase1-2_input0017-modality0-WarpedToTemplate.nii.gz,0.9717868798691701,0.01838321809417185,0.8688155525186316
phase1-2,phase1-2_input0075-modality0-WarpedToTemplate.nii.gz,0.9684202764086616,0.011805641232218373,0.8928082832116003
phase2-1,phase2-1_input0073-modality0-WarpedToTemplate.nii.gz,0.9834690120874526,0.01962485229312964,0.8818813030620148
phase2-1,phase2-1_input0011-modality0-WarpedToTemplate.nii.gz,0.982643620198393,0.00789611578069911,0.9269721538723642
phase2-1,phase2-1_input0062-modality0-WarpedToTemplate.nii.gz,0.9808578119528485,0.004065860846855298,0.9381627149874396
phase2-1,phase2-1_input0000-modality0-WarpedToTemplate.nii.gz,0.9802587294485047,0.008368575108553896,0.9217732392835335
phase2-1,phase2-1_input0056-modality0-WarpedToTemplate.nii.gz,0.9791661697976966,0.012438611918442477,0.9056471027906027
phase2-1,phase2-1_input0034-modality0-WarpedToTemplate.nii.gz,0.9830673203661339,0.005806568767654515,0.9363258528195685
phase2-1,phase2-1_input0047-modality0-WarpedToTemplate.nii.gz,0.9834850672890516,0.022389791830608772,0.8731029057744206
phase2-1,phase2-1_input0084-modality0-WarpedToTemplate.nii.gz,0.9818881072402936,0.017711140273097628,0.8877096271188919
phase2-1,phase2-1_input0025-modality0-WarpedToTemplate.nii.gz,0.9794170669555525,0.017113355809642346,0.8902829373018599
phase2-1,phase2-1_input0039-modality0-WarpedToTemplate.nii.gz,0.9811616163265646,0.013833055954380861,0.9081040680296006
phase2-1,phase2-1_input0089-modality0-WarpedToTemplate.nii.gz,0.9818284274413775,0.011770907556176149,0.9098342143187611
phase2-1,phase2-1_input0028-modality0-WarpedToTemplate.nii.gz,0.9791046426420007,0.011721884387137204,0.9101225715484527
phase2-1,phase2-1_input0048-modality0-WarpedToTemplate.nii.gz,0.9838822687918237,0.011704466008738415,0.9164324919056849
phase2-1,phase2-1_input0059-modality0-WarpedToTemplate.nii.gz,0.9803172284019245,0.006643491631886342,0.922710278055267
